result,x,y
4.863839017774737,8,5
4.863839017774737,8,5
4.863839017774737,8,5
4.863839017774737,8,5
4.783636809465607,7,7
4.783636809465607,7,7
4.783636809465607,7,7
4.783636809465607,7,7
4.783636809465607,7,7
4.783636809465607,7,7
4.758410169459636,6,8
4.758410169459636,6,8
4.758410169459636,6,8
4.758410169459636,6,8
4.729281061359341,7,4
4.729281061359341,7,4
4.729281061359341,7,4
4.729281061359341,7,4
4.709643162054756,7,6
4.709643162054756,7,6
4.709643162054756,7,6
4.709643162054756,7,6
4.709643162054756,7,6
4.709643162054756,7,6
4.709643162054756,7,6
4.679267741246761,7,5
4.679267741246761,7,5
4.679267741246761,7,5
4.679267741246761,7,5
4.679267741246761,7,5
4.679267741246761,7,5
4.679267741246761,7,5
4.641876353203706,5,8
4.641876353203706,5,8
4.641876353203706,5,8
4.641876353203706,5,8
4.641876353203706,5,8
4.641876353203706,5,8
4.641876353203706,5,8
4.641320587285346,6,7
4.641320587285346,6,7
4.641320587285346,6,7
4.641320587285346,6,7
4.641320587285346,6,7
4.641320587285346,6,7
4.5436580245804885,6,6
4.5436580245804885,6,6
4.5436580245804885,6,6
4.5436580245804885,6,6
4.5436580245804885,6,6
4.5436580245804885,6,6
4.5436580245804885,6,6
4.5436580245804885,6,6
4.5436580245804885,6,6
4.5436580245804885,6,6
4.5436580245804885,6,6
4.535266618145442,4,8
4.535266618145442,4,8
4.535266618145442,4,8
4.535266618145442,4,8
4.535266618145442,4,8
4.535266618145442,4,8
4.535266618145442,4,8
4.535266618145442,4,8
4.506137510045127,6,4
4.506137510045127,6,4
4.506137510045127,6,4
4.506137510045127,6,4
4.506137510045127,6,4
4.506137510045127,6,4
4.502734423999221,5,7
4.502734423999221,5,7
4.502734423999221,5,7
4.502734423999221,5,7
4.502734423999221,5,7
4.502734423999221,5,7
4.502734423999221,5,7
4.486076512215897,6,5
4.486076512215897,6,5
4.486076512215897,6,5
4.486076512215897,6,5
4.486076512215897,6,5
4.486076512215897,6,5
4.486076512215897,6,5
4.486076512215897,6,5
4.443699424619946,3,8
4.443699424619946,3,8
4.377865769737767,5,6
4.377865769737767,5,6
4.377865769737767,5,6
4.377865769737767,5,6
