result,x,y
5.082780874812595,9.992,4.0
5.082780874812595,9.992,4.0
5.064943912888717,9.0,6.976
5.064943912888717,9.0,6.976
5.029165840362207,9.0,6.0
5.029165840362207,9.0,6.0
5.005270247391173,8.0,8.0
4.93692042613759,8.0,4.0
4.93692042613759,8.0,4.0
4.93692042613759,8.0,4.0
4.93692042613759,8.0,4.0
4.92772044891394,8.0,7.024
4.880627802183891,7.0,8.0
4.880627802183891,7.0,8.0
4.880627802183891,7.0,8.0
4.8721620915525365,8.0,6.0
4.8721620915525365,8.0,6.0
4.871322257098235,8.0,5.976
4.871322257098235,8.0,5.976
4.870508281305111,8.0,5.952
4.863839017774737,8.0,5.0
4.863839017774737,8.0,5.0
4.863267570678742,8.0,5.024
4.824869964317567,5.024,5.0
4.787884922549065,7.0,7.048
4.783636809465607,7.0,7.0
4.758410169459636,6.0,8.0
4.729281061359341,7.0,4.0
4.709643162054756,7.0,6.0
4.709643162054756,7.0,6.0
4.709643162054756,7.0,6.0
4.703508709217802,4.032,5.0
4.697440570444509,6.008,4.0
4.641876353203706,5.0,8.0
4.641876353203706,5.0,8.0
4.641876353203706,5.0,8.0
4.641320587285346,6.0,7.0
4.638690266593801,6.0,6.976
4.590388587967199,5.048,4.0
4.543001716613404,6.0,5.992
4.542347896917276,6.0,5.984
4.535266618145442,4.0,8.0
4.535266618145442,4.0,8.0
4.506137510045127,6.0,4.0
4.486076512215897,6.0,5.0
4.443699424619946,3.0,8.0
4.443699424619946,3.0,8.0
4.443699424619946,3.0,8.0
4.408999187046442,8.976,8.0
4.377865769737767,5.0,6.0
4.377865769737767,5.0,6.0
4.373056600690696,4.0,7.0
4.372516081712096,5.0,5.952
4.2872256534707525,5.0,5.0
4.2872256534707525,5.0,5.0
4.2684658581680255,5.0,4.0
4.2684658581680255,5.0,4.0
4.2684658581680255,5.0,4.0
4.261472443167985,5.984,8.0
4.259112341341472,3.0,7.0
4.202011367205649,4.904,8.0
4.089630848756155,4.0,5.008
4.073654395334778,3.0,6.0
4.073654395334778,3.0,6.0
4.064923301335544,3.0,5.952
4.042190898798753,4.992,4.0
4.020629694263439,4.0,4.0
4.020629694263439,4.0,4.0
3.9549067496249775,8.096,4.0
3.9384969737982205,6.976,5.0
